"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T17:53:06.564+05:30[Asia/Calcutta]","0.0","25.6"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T17:53:34.806+05:30[Asia/Calcutta]","0.0","75.0"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T17:54:52.618+05:30[Asia/Calcutta]","0.0","16.18"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T17:55:11.046+05:30[Asia/Calcutta]","0.0","20.6"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T17:55:33.887+05:30[Asia/Calcutta]","0.0","21.4"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T17:55:57.615+05:30[Asia/Calcutta]","0.0","29.1"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T17:56:31.661+05:30[Asia/Calcutta]","0.0","22.59"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T17:56:58.306+05:30[Asia/Calcutta]","0.0","97.67"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T17:58:39.340+05:30[Asia/Calcutta]","0.0","16.63"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T17:58:58.240+05:30[Asia/Calcutta]","0.0","24.56"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T17:59:25.279+05:30[Asia/Calcutta]","0.0","22.44"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T17:59:50.203+05:30[Asia/Calcutta]","0.0","17.01"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T18:00:09.560+05:30[Asia/Calcutta]","0.0","22.19"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2017-12-11T18:00:34.200+05:30[Asia/Calcutta]","0.0","23.77"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2017-12-11T18:01:00.358+05:30[Asia/Calcutta]","0.0","22.15"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2017-12-11T18:01:24.740+05:30[Asia/Calcutta]","0.0","40.84"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2017-12-11T18:02:10.362+05:30[Asia/Calcutta]","0.0","24.9"
