"Story","Title","Result","Date","Stability","Duration (s)"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:36:45.908+05:30[Asia/Calcutta]","0.0","32.43"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:37:20.647+05:30[Asia/Calcutta]","0.0","31.43"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:37:54.382+05:30[Asia/Calcutta]","0.0","40.8"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:38:37.511+05:30[Asia/Calcutta]","0.0","53.46"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:39:33.497+05:30[Asia/Calcutta]","0.0","44.49"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:56:17.470+05:30[Asia/Calcutta]","0.0","18.93"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:56:36.621+05:30[Asia/Calcutta]","0.0","22.32"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:56:59.102+05:30[Asia/Calcutta]","0.0","27.51"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:57:26.852+05:30[Asia/Calcutta]","0.0","34.47"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:58:01.519+05:30[Asia/Calcutta]","0.0","26.56"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T17:54:52.618+05:30[Asia/Calcutta]","0.0","16.18"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T17:55:11.046+05:30[Asia/Calcutta]","0.0","20.6"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T17:55:33.887+05:30[Asia/Calcutta]","0.0","21.4"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T17:55:57.615+05:30[Asia/Calcutta]","0.0","29.1"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T17:56:31.661+05:30[Asia/Calcutta]","0.0","22.59"
