"Story","Title","Result","Date","Stability","Duration (s)"
"Chat","Chat icon global header","SUCCESS","2018-07-17T17:55:37.165+05:30[Asia/Calcutta]","0.0","17.28"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T17:55:58.093+05:30[Asia/Calcutta]","0.0","12.37"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T17:56:13.926+05:30[Asia/Calcutta]","0.0","56.58"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T17:57:14.368+05:30[Asia/Calcutta]","0.0","48.25"
"Chat","Chat options","SUCCESS","2018-07-17T17:58:06.884+05:30[Asia/Calcutta]","0.0","18.69"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T17:58:29.954+05:30[Asia/Calcutta]","0.0","28.68"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T17:59:03.368+05:30[Asia/Calcutta]","0.0","28.62"
"Chat","Chat form field","SUCCESS","2018-07-17T17:59:36.606+05:30[Asia/Calcutta]","0.0","29.02"
"Chat","Browser page","SUCCESS","2018-07-17T18:00:09.926+05:30[Asia/Calcutta]","0.0","26.06"
"Chat","Chat form validation","FAILURE","2018-07-17T18:00:40.632+05:30[Asia/Calcutta]","0.0","40.67"
"Chat","Chat icon global header","SUCCESS","2018-07-17T18:54:24.623+05:30[Asia/Calcutta]","0.0","22.92"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T18:54:48.066+05:30[Asia/Calcutta]","0.0","18.83"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T18:55:07.185+05:30[Asia/Calcutta]","0.0","63.26"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T18:56:10.527+05:30[Asia/Calcutta]","0.0","54.17"
"Chat","Chat options","SUCCESS","2018-07-17T18:57:04.994+05:30[Asia/Calcutta]","0.0","26.12"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T18:57:31.405+05:30[Asia/Calcutta]","0.0","42.36"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T18:58:13.929+05:30[Asia/Calcutta]","0.0","38.04"
"Chat","Chat form field","SUCCESS","2018-07-17T18:58:52.197+05:30[Asia/Calcutta]","0.0","42.43"
"Chat","Browser page","SUCCESS","2018-07-17T18:59:34.802+05:30[Asia/Calcutta]","0.0","37.17"
"Chat","Chat form validation","SUCCESS","2018-07-17T19:00:12.096+05:30[Asia/Calcutta]","0.0","53.5"
"Chat","Chat icon global header","SUCCESS","2018-07-17T19:06:08.404+05:30[Asia/Calcutta]","0.0","24.21"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T19:06:33.404+05:30[Asia/Calcutta]","0.0","21.06"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T19:06:55.015+05:30[Asia/Calcutta]","0.0","57.28"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T19:07:52.842+05:30[Asia/Calcutta]","0.0","51.85"
"Chat","Chat options","SUCCESS","2018-07-17T19:08:45.288+05:30[Asia/Calcutta]","0.0","35.5"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T19:09:21.345+05:30[Asia/Calcutta]","0.0","38.34"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T19:10:00.439+05:30[Asia/Calcutta]","0.0","36.65"
"Chat","Chat form field","SUCCESS","2018-07-17T19:10:37.620+05:30[Asia/Calcutta]","0.0","39.55"
"Chat","Browser page","SUCCESS","2018-07-17T19:11:17.902+05:30[Asia/Calcutta]","0.0","88.15"
"Chat","Chat form validation","FAILURE","2018-07-17T19:12:46.753+05:30[Asia/Calcutta]","0.0","50.71"
