"Story","Title","Result","Date","Stability","Duration (s)"
"Chat","Chat icon global header","SUCCESS","2018-07-17T17:55:37.165+05:30[Asia/Calcutta]","0.0","17.28"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T17:55:58.093+05:30[Asia/Calcutta]","0.0","12.37"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T17:56:13.926+05:30[Asia/Calcutta]","0.0","56.58"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T17:57:14.368+05:30[Asia/Calcutta]","0.0","48.25"
"Chat","Chat options","SUCCESS","2018-07-17T17:58:06.884+05:30[Asia/Calcutta]","0.0","18.69"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T17:58:29.954+05:30[Asia/Calcutta]","0.0","28.68"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T17:59:03.368+05:30[Asia/Calcutta]","0.0","28.62"
"Chat","Chat form field","SUCCESS","2018-07-17T17:59:36.606+05:30[Asia/Calcutta]","0.0","29.02"
"Chat","Browser page","SUCCESS","2018-07-17T18:00:09.926+05:30[Asia/Calcutta]","0.0","26.06"
"Chat","Chat form validation","FAILURE","2018-07-17T18:00:40.632+05:30[Asia/Calcutta]","0.0","40.67"
