"Story","Title","Result","Date","Stability","Duration (s)"
"Chat","Chat icon global header","SUCCESS","2018-07-17T18:54:24.623+05:30[Asia/Calcutta]","0.0","22.92"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T18:54:48.066+05:30[Asia/Calcutta]","0.0","18.83"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T18:55:07.185+05:30[Asia/Calcutta]","0.0","63.26"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T18:56:10.527+05:30[Asia/Calcutta]","0.0","54.17"
"Chat","Chat options","SUCCESS","2018-07-17T18:57:04.994+05:30[Asia/Calcutta]","0.0","26.12"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T18:57:31.405+05:30[Asia/Calcutta]","0.0","42.36"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T18:58:13.929+05:30[Asia/Calcutta]","0.0","38.04"
"Chat","Chat form field","SUCCESS","2018-07-17T18:58:52.197+05:30[Asia/Calcutta]","0.0","42.43"
"Chat","Browser page","SUCCESS","2018-07-17T18:59:34.802+05:30[Asia/Calcutta]","0.0","37.17"
"Chat","Chat form validation","SUCCESS","2018-07-17T19:00:12.096+05:30[Asia/Calcutta]","0.0","53.5"
