"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T16:30:14.334+05:30[Asia/Calcutta]","0.0","272.8"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T16:34:50.095+05:30[Asia/Calcutta]","0.0","113.0"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T16:53:27.462+05:30[Asia/Calcutta]","0.0","50.73"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T16:54:18.680+05:30[Asia/Calcutta]","0.0","118.39"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T17:53:06.564+05:30[Asia/Calcutta]","0.0","25.6"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T17:53:34.806+05:30[Asia/Calcutta]","0.0","75.0"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:36:45.908+05:30[Asia/Calcutta]","0.0","32.43"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:37:20.647+05:30[Asia/Calcutta]","0.0","31.43"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:37:54.382+05:30[Asia/Calcutta]","0.0","40.8"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:38:37.511+05:30[Asia/Calcutta]","0.0","53.46"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:39:33.497+05:30[Asia/Calcutta]","0.0","44.49"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:56:17.470+05:30[Asia/Calcutta]","0.0","18.93"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:56:36.621+05:30[Asia/Calcutta]","0.0","22.32"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:56:59.102+05:30[Asia/Calcutta]","0.0","27.51"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:57:26.852+05:30[Asia/Calcutta]","0.0","34.47"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:58:01.519+05:30[Asia/Calcutta]","0.0","26.56"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T17:54:52.618+05:30[Asia/Calcutta]","0.0","16.18"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T17:55:11.046+05:30[Asia/Calcutta]","0.0","20.6"
