"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T16:53:27.462+05:30[Asia/Calcutta]","0.0","50.73"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T16:54:18.680+05:30[Asia/Calcutta]","0.0","118.39"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:56:17.470+05:30[Asia/Calcutta]","0.0","18.93"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:56:36.621+05:30[Asia/Calcutta]","0.0","22.32"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:56:59.102+05:30[Asia/Calcutta]","0.0","27.51"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:57:26.852+05:30[Asia/Calcutta]","0.0","34.47"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:58:01.519+05:30[Asia/Calcutta]","0.0","26.56"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T16:58:28.335+05:30[Asia/Calcutta]","0.0","134.14"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T17:00:42.806+05:30[Asia/Calcutta]","0.0","16.76"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T17:00:59.699+05:30[Asia/Calcutta]","0.0","56.39"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T17:01:56.328+05:30[Asia/Calcutta]","0.0","31.37"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T17:02:27.991+05:30[Asia/Calcutta]","0.0","19.41"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T17:02:47.662+05:30[Asia/Calcutta]","0.0","28.37"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2017-12-11T17:03:16.106+05:30[Asia/Calcutta]","0.0","27.47"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2017-12-11T17:03:43.849+05:30[Asia/Calcutta]","0.0","31.14"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SKIPPED","2017-12-11T17:04:15.360+05:30[Asia/Calcutta]","0.0","0.0"
"SegmentDivingCB25v2","Navigate to segment page","SKIPPED","2017-12-11T17:04:15.364+05:30[Asia/Calcutta]","0.0","0.0"
