"Story","Title","Result","Date","Stability","Duration (s)"
"Chat","Chat icon global header","SUCCESS","2018-07-17T19:06:08.404+05:30[Asia/Calcutta]","0.0","24.21"
"Chat","Chat icon side wall","SUCCESS","2018-07-17T19:06:33.404+05:30[Asia/Calcutta]","0.0","21.06"
"Chat","Start chat with agent from proactive chat window","SUCCESS","2018-07-17T19:06:55.015+05:30[Asia/Calcutta]","0.0","57.28"
"Chat","Close proactive chat window","SUCCESS","2018-07-17T19:07:52.842+05:30[Asia/Calcutta]","0.0","51.85"
"Chat","Chat options","SUCCESS","2018-07-17T19:08:45.288+05:30[Asia/Calcutta]","0.0","35.5"
"Chat","Start the chat with an agent","SUCCESS","2018-07-17T19:09:21.345+05:30[Asia/Calcutta]","0.0","38.34"
"Chat","Start a chat with an agent","SUCCESS","2018-07-17T19:10:00.439+05:30[Asia/Calcutta]","0.0","36.65"
"Chat","Chat form field","SUCCESS","2018-07-17T19:10:37.620+05:30[Asia/Calcutta]","0.0","39.55"
"Chat","Browser page","SUCCESS","2018-07-17T19:11:17.902+05:30[Asia/Calcutta]","0.0","88.15"
"Chat","Chat form validation","FAILURE","2018-07-17T19:12:46.753+05:30[Asia/Calcutta]","0.0","50.71"
