"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Featured area","SUCCESS","2017-12-11T16:30:14.334+05:30[Asia/Calcutta]","0.0","272.8"
"About Oracle CB50","Featured area Page","SUCCESS","2017-12-11T16:34:50.095+05:30[Asia/Calcutta]","0.0","113.0"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2017-12-11T16:36:45.908+05:30[Asia/Calcutta]","0.0","32.43"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2017-12-11T16:37:20.647+05:30[Asia/Calcutta]","0.0","31.43"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2017-12-11T16:37:54.382+05:30[Asia/Calcutta]","0.0","40.8"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2017-12-11T16:38:37.511+05:30[Asia/Calcutta]","0.0","53.46"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2017-12-11T16:39:33.497+05:30[Asia/Calcutta]","0.0","44.49"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T16:40:20.333+05:30[Asia/Calcutta]","0.0","110.41"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T16:42:13.377+05:30[Asia/Calcutta]","0.0","25.58"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T16:42:41.225+05:30[Asia/Calcutta]","0.0","38.49"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T16:43:22.101+05:30[Asia/Calcutta]","0.0","43.05"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T16:44:07.460+05:30[Asia/Calcutta]","0.0","26.29"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T16:44:35.924+05:30[Asia/Calcutta]","0.0","34.38"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2017-12-11T16:45:12.625+05:30[Asia/Calcutta]","0.0","35.92"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2017-12-11T16:45:50.728+05:30[Asia/Calcutta]","0.0","37.93"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SKIPPED","2017-12-11T16:46:31.072+05:30[Asia/Calcutta]","0.0","0.01"
"SegmentDivingCB25v2","Navigate to segment page","SKIPPED","2017-12-11T16:46:31.081+05:30[Asia/Calcutta]","0.0","0.0"
