"Story","Title","Result","Date","Stability","Duration (s)"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T16:40:20.333+05:30[Asia/Calcutta]","0.0","110.41"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T16:42:13.377+05:30[Asia/Calcutta]","0.0","25.58"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T16:42:41.225+05:30[Asia/Calcutta]","0.0","38.49"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T16:43:22.101+05:30[Asia/Calcutta]","0.0","43.05"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T16:44:07.460+05:30[Asia/Calcutta]","0.0","26.29"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T16:44:35.924+05:30[Asia/Calcutta]","0.0","34.38"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T16:58:28.335+05:30[Asia/Calcutta]","0.0","134.14"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T17:00:42.806+05:30[Asia/Calcutta]","0.0","16.76"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T17:00:59.699+05:30[Asia/Calcutta]","0.0","56.39"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T17:01:56.328+05:30[Asia/Calcutta]","0.0","31.37"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T17:02:27.991+05:30[Asia/Calcutta]","0.0","19.41"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T17:02:47.662+05:30[Asia/Calcutta]","0.0","28.37"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2017-12-11T17:56:58.306+05:30[Asia/Calcutta]","0.0","97.67"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2017-12-11T17:58:39.340+05:30[Asia/Calcutta]","0.0","16.63"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2017-12-11T17:58:58.240+05:30[Asia/Calcutta]","0.0","24.56"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2017-12-11T17:59:25.279+05:30[Asia/Calcutta]","0.0","22.44"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2017-12-11T17:59:50.203+05:30[Asia/Calcutta]","0.0","17.01"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2017-12-11T18:00:09.560+05:30[Asia/Calcutta]","0.0","22.19"
